["The player stood in the field looking at the batter.", "stare back at the outfield as players aim their shots on the second day of tournament"]
["The coach stands along the field, looking at the goalkeeper.", "are looking at the row of fields with a passing breeze"]
["I stood and looked across the field, peacefully.", "hundreds of protesters look on as the house of politician sits on a bluff street"]
["Someone stands, looking around the empty field.", "There is a road ready to take a beer with us looking straight ahead."]
["The silly kid loves to dance in her room.", "Someone is dancing in a futon, while someone is holding a yoohoo toothing class when another man in a threesome dances as kids dance in front of him."]
["the dance kid  room is full of kids", "males were in full ringer dance to the background of swinging boys in space darkened room with babies doing ballet dances"]
["A kid is dancing in the room.", "His nightwear is shaking the room and a girl dances behind him."]
["A group of kids are dancing around a living room.", "pop artist and his kids dance on stage during film room with a queen being dressed in costume"]
["A pet cat likes to sleep on a couch.", "there is a cat and a pad of cat playing together at the couch"]
["My pet cat love to sleep on the couch.", "a pound of cat sitting on a couch while petted by man"]
["The woman pet the cat that was sat on the couch.", "a mountain lion eating its cat in an open crate on the mountain"]
["actor petting long haired gray cat on couch", "A hungry cat paws some food on its couch."]
["The mouse climbed the side of the building.", "climb the huge side of the mountain building with tree side"]
["I climbed the side of the building.", "a female climbing up a wall in an underground space used to form constructed side of museum"]
["A girl climbs up the side of a building.", "hotel built by cottagebuilder to swing down side and climbing on the lake with ice"]
["ivy climbs the side of a building .", "A person while climbing an intact wooden side of a building, is below the trees."]
["The woman thats talking teaches her students how to climb the wall.", "The wall is full of wall talk and climb you reach the snowy mountain."]
["The person climbed up the wall to talk to the man.", "wall to climb"]
["The man talked about how to climb walls.", "a person walks down a walkway covered in walls that talk on it or slope towards tree trunk."]
["A man is talking in front of a climbing wall.", "wall can only talk to climbers on a closed summit wall"]
["The car drove through the snow.", "a snowboarder drives through a frozen lake while leaning on a cat."]
["The woman couldn't drive her car in the snow.", "a private and semi owned car drives down snowy road"]
["The car drove threw the snow.", "A sunroof drives through a foggy morning and sees a snowmobile taxiing into snow."]
["driving a car in snow", "A snowing in a car while driving."]
["The boy wants to wear earpods as he talks on his phone.", "A man is wearing a leather jacket, goggles and earphones to talk to a woman holding a cellphone."]
["I continued to talk on phone while wearing my shoes.", "A black phone is being worn by a woman but her yelling brother is wearing the same ipod as her in the room."]
["A man wearing glasses talking on a phone", "Someone sneaks a cell phone from its place of wear metal earpiece and hides it under glasses for anyone to see."]
["The team practiced hockey at the outdoor rink.", "championship hockey playing team climbing a rink"]
["The team plays hockey on the rink.", "ice hockey player skating on the rink with his teammates during the final period."]
["The hockey team practiced in the ice rink.", "ice hockey team in front of rink wearing full dress to skate"]
["Two teams are playing hockey in a hockey rink.", "ice hockey leads the ice hockey team in the rink"]
["the ocean is where surfers go to surf", "a surfing wave surfs a healthy ocean from person"]
["The boy went to the ocean to surf and after awhile became a full blown surfer.", "a man surfs the sea in our oceans"]
["A surfer surfing in the ocean.", "surfer walks through a coast in the sea"]
["A boy jumps up a flight of stairs taking two at a time.", "Two boys playing with their arms and jumping from the beach are sailing around the castle, runway and taking off right before a big explosion explodes."]
["The boys jump down the flight of stairs.", "A man and a woman are working at the airport to jump to better board it."]
["A lady had to jump up the stairs so she wouldnt miss her flight.", "The airliner is taking off in the back of a staircase above a special ski cabin, possibly the safest flying a man was ever able."]
["A dog jumps down a flight of stairs.", "debris flying above an aircraft with the slogan jumps over open wings"]
["The school band played their instruments in unison rendering a sweet music.", "guitar player in band playing guitar and music from various sources in the background"]
["Bands use instruments to make music.", "A group of electronic music producers are playing video music as they take the band back to the studio."]
["The band brought their instruments so they could play music.", "boardist with band playing in orchestra playing music on stage in a revival"]
["A band playing some music with their instruments.", "fog and the puffy horns of the arabic body playing with band the guitar on a cello orchestra music"]
["The students sit in a circle as the teacher talks.", "A group of people chatting in a circle in their natural habitat is not able to sit up straight."]
["We sat in a circle and talked.", "talk to person in front of line in a circle while holding a photo."]
["We sat in a circle and talked.", "greeting card and standing circle for a conversation with thumb tips"]
["Four young males sitting in a circle talking.", "chatter name and cellphone sitter who speaks in a tablet, talking in a circle"]
["I quickly moved back, while still looking into the eyes of the stranger.", "Three men in the ski mask looking at a camera, moving in and out of sight."]
["My eye moves around looking for the bird.", "the eye moves back and forth as the scene plays out"]
["The eyes move to look around.", "Someone has looked at it too. Someone uses an eyeglasses to check how far it moves."]
["A woman looks at the camera and moves her eyes individually.", "beautiful looking women in the audience move behind the stage to gaze upon"]
["He looked at his watch and then out of the window.", "This young lady is watching the window from the opposite side with her baby granddaughter watching."]
["The young girl looks out the window to watch the snow fall.", "A man watches a window sneers outside."]
["The cat was looking out the window watching the people.", "Someone looks off, and watches.Someone looks off, and watches.Someone looked and waited in the window."]
["Two people looking out the window watching radars.", "A man is watching himself watch his wife looking into his windows."]
["The athlete performs stretches as they prepare to run.", "Two female athletes prepare for the last mile of their marathon run."]
["The athlete prepares to run the race.", "a student prepares an activity as an athlete participates in running."]
["The athlete is preparing to run the 1000 metre track race.", "A knee high athlete watches while preparing a start for the marathon."]
["An athlete prepare to run.", "A female sprinter is preparing to run after a training session."]
["The hiker bought new gear to wear for the walk to the waterfall.", "Several fashion options are available to you and your fashion clothes, while wearing."]
["The hiker has lots of gear to wear while walking.", "sportsman wears a casual casual shirt to fashion clothing by men in the stables."]
["A man wears a backpack with hiking gear as he walks to the trail.", "person or car mechanic wears a chain to walk his business while wearing casual clothing"]
["A person wearing gear walking in the snow.", "A man was walking his dog through his shopping carts, wears jeans and a pair of gloves while wearing a suit."]
["The man on stage is giving a speech.", "women listen to the former president giving his speech at the theater"]
["The mayor is giving a speech on the stage.", "theatre actor gives a speech in theatre during the fashion show"]
["The man gave a speech on the stage.", "A man walks in the curtain of audience giving a speech from stage."]
["A man on a stage giving a speech.", "fans are giving their speech on stage during performance of new year greek community"]
["A man rubs his hands with soap after using the bathrooom.", "Lying in a shirt and shorts, a child rubs his knees and gets clean wiped clean by soap and soapcomb in a city."]
["I will now rub the soap on my dirty hand.", "Two workers bare hands in washing machine rub soap and sunflower seeds on one of his beds."]
["Rub the soap in your hand.", "A man lifts his fingers so that he is rubbing soap down the hand on a pan."]
["The person uses soap to rub vigorously the hands.", "A person retrieves a bit of soap from her hand in a pan and rubs it."]
["A girl waved her hand in front of the man.", "passengers hold hands in front of street during a symbolic march of the centre of cities with hand in tow"]
["front hand always used to bet the wave", "a group of men in front of a church are waving flags and waving for space in the courtyard."]
["The men in front waved hands.", "He turns and crosses his shoulder and hands wave with the front of the rear windows open."]
["kids waving hands in front of a cake .", "southern walled city with large pillars wave against the front."]
["David had to mow the lawn by 12:00pm, and there are a yard to finish.", "a young woman with big potholed barn mowing beautiful green grass in front of her yellow lawn with a mulch covered car recently to dusk"]
["The man is mowing the lawn in a yard.", "cows and horses are paddling on the grassy pasture at the garden terrace."]
["Create pottery with a wheel and clay.", "dollars placed inside wood wheel on tiles new design by person creating of yourself in yellow wheel"]
["I create pottery on a wheel.", "cartoon horse riding in the dirt with pottery on the road"]
["A pottery wheel can be used to create bowls.", "automobile make wooden creations with bright rods, wheels and a pottery in hand."]
["A man is using a wheel to create pottery.", "wheels made of aluminum and wood for the construction of human statue."]
